epoch,step,test_f1_general,test_f1_score,test_loss,train_f1_general,train_f1_score,train_loss,val_f1_general,val_f1_score,val_loss
0,446,,,,,,,0.006964849308133125,0.0020894547924399376,0.059837158769369125
0,446,,,,0.0030817079823464155,0.00023651313676964492,0.08791910856962204,,,
1,893,,,,,,,0.065867580473423,0.022426815703511238,0.04976635053753853
1,893,,,,0.029932033270597458,0.010016560554504395,0.04805413633584976,,,
2,1340,,,,,,,0.29974284768104553,0.10097506642341614,0.046264633536338806
2,1340,,,,0.18710535764694214,0.06677145510911942,0.03400479629635811,,,
3,1787,,,,,,,0.3796961307525635,0.15031881630420685,0.04728803411126137
3,1787,,,,0.450870543718338,0.17661060392856598,0.024411030113697052,,,
4,2234,,,,,,,0.48213717341423035,0.19933147728443146,0.047769464552402496
4,2234,,,,0.5720062255859375,0.2608269155025482,0.018116870895028114,,,
5,2681,,,,,,,0.5004259347915649,0.22181302309036255,0.055637065321207047
5,2681,,,,0.6819357872009277,0.32818731665611267,0.013308441266417503,,,
6,3128,,,,,,,0.4670971632003784,0.20478394627571106,0.07004015892744064
6,3128,,,,0.7138849496841431,0.35460084676742554,0.009907127358019352,,,
7,3575,,,,,,,0.4617694616317749,0.20085377991199493,0.07682885229587555
7,3575,,,,0.758803129196167,0.38651278614997864,0.0071196178905665874,,,
8,4022,,,,,,,0.5070558190345764,0.2268625944852829,0.08229941874742508
8,4022,,,,0.7678338289260864,0.3886874318122864,0.005929179489612579,,,
9,4469,,,,,,,0.5011106133460999,0.22957882285118103,0.08823700994253159
9,4469,,,,0.7575486898422241,0.38342350721359253,0.0050142742693424225,,,
10,4916,,,,,,,0.5022338628768921,0.226653590798378,0.09150838851928711
10,4916,,,,0.7484584450721741,0.3793896734714508,0.004354441538453102,,,
11,5363,,,,,,,0.48954614996910095,0.22058425843715668,0.0968368649482727
11,5363,,,,0.7475240230560303,0.3792368769645691,0.00407395139336586,,,
12,5810,,,,,,,0.49727946519851685,0.2205643355846405,0.10049007833003998
12,5810,,,,0.7700448036193848,0.4002298414707184,0.003009289503097534,,,
13,6257,,,,,,,0.4987039864063263,0.2222309559583664,0.09505172818899155
13,6257,,,,0.7703437209129333,0.3969043791294098,0.002886350266635418,,,
14,6704,,,,,,,0.4987982213497162,0.2175794392824173,0.09838131070137024
14,6704,,,,0.7665922045707703,0.39297640323638916,0.0032608385663479567,,,
15,7151,,,,,,,0.4779123365879059,0.20972901582717896,0.11233030259609222
15,7151,,,,0.7776669859886169,0.39535820484161377,0.002513000275939703,,,
16,7598,,,,,,,0.48499974608421326,0.21502232551574707,0.10528683662414551
16,7598,,,,0.7698121070861816,0.3914894461631775,0.002317607868462801,,,
17,8045,,,,,,,0.47613298892974854,0.20650528371334076,0.11962890625
17,8045,,,,0.7719442248344421,0.3947965204715729,0.0015707622515037656,,,
18,8492,,,,,,,0.4710744321346283,0.2174699604511261,0.10997572541236877
18,8492,,,,0.761236310005188,0.39570245146751404,0.001763854525052011,,,
19,8939,,,,,,,0.47784122824668884,0.21794754266738892,0.09681675583124161
19,8939,,,,0.7685661911964417,0.38957419991493225,0.002109885448589921,,,
20,9386,,,,,,,0.48816564679145813,0.2160073220729828,0.11192328482866287
20,9386,,,,0.7769234776496887,0.38390570878982544,0.0014011770254001021,,,
21,9833,,,,,,,0.4743616580963135,0.2123856246471405,0.12347681075334549
21,9833,,,,0.7666057348251343,0.3862930238246918,0.0012057857820764184,,,
22,10280,,,,,,,0.46780261397361755,0.20959964394569397,0.12334759533405304
22,10280,,,,0.7702158689498901,0.4004145562648773,0.001684634480625391,,,
23,10727,,,,,,,0.4836826026439667,0.20631621778011322,0.13143892586231232
23,10727,,,,0.7801325917243958,0.3890779912471771,0.0011319909244775772,,,
24,11174,,,,,,,0.45074254274368286,0.1954510360956192,0.12502093613147736
24,11174,,,,0.7678360342979431,0.38835451006889343,0.0010889507830142975,,,
25,11621,,,,,,,0.4677979052066803,0.21008716523647308,0.11291312426328659
25,11621,,,,0.7834874391555786,0.38887447118759155,0.0015733863692730665,,,
26,12068,,,,,,,0.4921783208847046,0.22039517760276794,0.11476021260023117
26,12068,,,,0.7862732410430908,0.38975486159324646,0.0010304588358849287,,,
27,12515,,,,,,,0.4750128388404846,0.20555005967617035,0.1331954449415207
27,12515,,,,0.7656038403511047,0.3937244415283203,0.0007266797474585474,,,
28,12962,,,,,,,0.4758251905441284,0.2115398794412613,0.12362461537122726
28,12962,,,,0.7807430028915405,0.39260539412498474,0.0007896232418715954,,,
29,13409,,,,,,,0.48357218503952026,0.21592773497104645,0.13160142302513123
29,13409,,,,0.7579863667488098,0.3924216032028198,0.0004460257478058338,,,
30,13410,0.44439053535461426,0.2131144255399704,0.07402903586626053,,,,,,
